Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,614.41,615.29,615.57,610.48,,-0.34%,,,
01/02/2018,619.69,621.74,621.78,615.94,,-0.92%,,,
01/02/2019,574.56,582.23,582.88,573.64,,-1.23%,,,
01/02/2020,550.26,546.83,550.7,546.83,,0.77%,,,
01/02/2024,460.57,460.49,460.61,458.64,,-0.13%,,,
01/02/2025,517.23,520.09,520.09,516.14,,-0.59%,1.6757889331558684,,
01/03/2017,571.63,571.28,571.63,569.52,,-0.16%,1.9337905113097003,,
01/03/2018,623.55,620.63,624.45,620.37,,0.62%,1.947703225446193,,
01/03/2019,577.13,576.73,578.41,573.99,,0.45%,2.0270993530526082,,
01/03/2020,553.69,551.68,553.91,551.08,,0.62%,1.4487847934045472,,
01/03/2022,492.8,493.91,494.79,491.73,,-1.03%,1.5559524618612215,1.537125261049755,
01/03/2023,469.7,474.59,474.59,469.7,,-1.40%,1.20829964818013,1.5359269525034762,
01/03/2024,462.52,460.44,463.54,459.19,,0.42%,0.5734814897736296,1.510719179242833,
01/03/2025,516.32,517.7,518.13,515.48,,-0.18%,1.3244678253062545,1.6415419274205858,
01/04/2016,574.18,585.61,585.96,574.18,,-2.25%,1.587053220346646,1.4537587564628764,
01/04/2017,575.49,572.54,575.49,572.12,,0.68%,1.1996998615627696,1.3508974884015637,
01/04/2018,627.24,624.46,627.24,624.46,,0.59%,0.99680005844423,1.3239583994465849,
01/04/2019,575.02,575.99,577.05,574.57,,-0.37%,1.3712244509514937,1.3237042388137699,
01/04/2021,527.03,537.3,537.32,523.76,,-1.85%,1.469221653075665,1.3376467822232518,
01/04/2022,490.59,493.38,493.44,488.89,,-0.45%,1.1943247827191217,1.3657545222406884,
01/04/2023,468.42,469.33,470.69,468.42,,-0.27%,1.1638296701052762,1.2664119657147672,1.3763716787172768
01/04/2024,466.55,462.66,466.55,462.05,,0.87%,0.5316186458016076,1.242177479240805,1.3748520801818556
01/05/2015,608.47,616.18,616.34,607.55,,-0.97%,2.5626182035735665,1.9507216890149963,1.7487853809600462
01/05/2016,578.45,574.5,580.6,573.75,,0.74%,2.4857247389009283,1.9320860888033973,1.751665208393664
01/05/2017,579.29,575.66,579.32,575.63,,0.66%,2.3605308225035087,1.8587540839175845,1.631969057989412
01/05/2018,632.78,627.77,632.78,627.75,,0.88%,2.241529822649474,1.9075729301942217,1.6087967991109198
01/05/2021,529.16,527.28,529.16,522.96,,0.40%,2.7890451294451584,2.0496742848776495,1.6892941508346964
01/05/2022,493.16,490.85,493.19,490.64,,0.52%,1.4931167133266259,2.035822932683686,1.6715326274342674
