Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2019,1267.85,"1,268.22","1,276.06","1,263.41",,0.45%,,,
01/02/2020,1314.54,"1,312.46","1,314.54","1,298.14",,-0.95%,,,
01/02/2024,1150.38,"1,135.06","1,151.13","1,132.19",,1.49%,,,
01/02/2025,1159.38,"1,151.90","1,159.38","1,145.50",,0.69%,,,
01/03/2017,1176.20,"1,172.52","1,176.20","1,155.84",,0.36%,,,
01/03/2018,1477.18,"1,456.50","1,477.18","1,454.70",,1.78%,2.180516855046114,,
01/03/2019,1298.93,"1,271.31","1,298.93","1,267.33",,2.45%,2.4553571907860583,,
01/03/2020,1334.21,"1,314.35","1,343.27","1,313.44",,1.50%,2.162477933930249,,
01/03/2022,1194.39,"1,205.46","1,205.72","1,194.39",,-1.26%,2.3934807200121,,
01/03/2023,1125.29,"1,118.06","1,131.99","1,117.74",,0.34%,2.4478246126630747,,
01/03/2024,1137.55,"1,146.75","1,148.06","1,134.65",,-1.12%,1.0564577244601996,1.7720351929927425,
01/03/2025,1170.32,"1,153.89","1,175.83","1,153.75",,0.94%,0.9451851105429645,1.7671215630243402,
01/04/2016,1180.66,"1,203.44","1,204.60","1,180.66",,-1.77%,0.8962983552866637,1.6387307265399778,
01/04/2017,1208.43,"1,178.96","1,208.82","1,178.36",,2.74%,0.5548457095484642,1.6408286574105615,
01/04/2018,1477.91,"1,474.32","1,481.26","1,466.91",,0.05%,1.4613386518247264,1.9637630137486042,
01/04/2019,1316.35,"1,295.14","1,321.44","1,294.59",,1.34%,1.8954256976532715,1.6084008552226867,
01/04/2021,1208.71,"1,200.40","1,212.35","1,198.88",,0.81%,2.0723826048084857,1.5419373762946347,
01/04/2023,1150.10,"1,128.29","1,157.55","1,128.29",,2.20%,2.1188241912924775,1.5470530010253598,
01/04/2024,1161.64,"1,139.37","1,163.15","1,136.45",,2.12%,2.112101653834667,1.456256890200021,
