Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/01/2015,1778.96,"1,778.96","1,778.96","1,778.96",,0.00%,,,
01/01/2024,1335.38,"1,335.38","1,335.38","1,335.38",,0.00%,,,
01/02/2015,1779.12,"1,777.33","1,781.59","1,773.23",,0.01%,,,
01/02/2017,1496.20,"1,496.20","1,496.20","1,496.20",,0.00%,,,
01/02/2018,1829.92,"1,813.22","1,831.14","1,812.02",,1.03%,,,
01/02/2019,1587.67,"1,604.86","1,609.53","1,582.26",,-0.91%,4.08683185616268,,
01/02/2020,1754.05,"1,743.46","1,756.56","1,737.72",,0.87%,3.4302534331086827,,
01/02/2023,1352.15,"1,352.15","1,352.15","1,352.15",,0.00%,3.059886389340521,,
01/02/2024,1325.35,"1,335.20","1,341.82","1,324.87",,-0.75%,2.868151208546553,,
01/02/2025,1742.33,"1,741.40","1,745.82","1,735.73",,0.09%,3.3683717027552698,,
01/03/2017,1500.46,"1,498.11","1,500.46","1,485.23",,0.28%,3.3854933131842575,3.538084427353144,
01/03/2018,1849.99,"1,833.39","1,852.51","1,831.55",,1.10%,3.7254877936374267,3.394171636750901,
01/03/2019,1573.00,"1,580.00","1,590.52","1,568.51",,-0.92%,3.4036652922891726,3.1356726686661625,
01/03/2020,1745.90,"1,758.79","1,763.14","1,738.76",,-0.46%,3.365593166063829,3.03151764415454,
01/03/2022,1586.67,"1,585.52","1,593.56","1,580.85",,0.29%,2.704277617603239,2.882471929741254,
01/03/2023,1354.97,"1,349.08","1,357.10","1,336.76",,0.21%,2.7267445224901627,2.900792109139272,
01/03/2024,1314.46,"1,316.68","1,321.80","1,310.63",,-0.82%,1.705930658263659,2.841116453250561,
01/03/2025,1745.54,"1,745.35","1,749.72","1,736.69",,0.18%,3.0155314772945574,3.0337285634500795,
01/04/2016,1479.10,"1,510.51","1,511.12","1,473.85",,-1.90%,3.1719421275857895,3.1781128952630167,
01/04/2017,1512.34,"1,501.17","1,518.56","1,501.17",,0.79%,3.1095357027926545,2.7490658576495064,
01/04/2018,1873.45,"1,855.97","1,873.47","1,852.24",,1.27%,3.1368671474183905,2.871708627149535,3.146791626847368
01/04/2019,1594.76,"1,561.74","1,594.76","1,561.58",,1.38%,3.495396900434654,2.7774010803415443,3.0512155324974914
01/04/2021,1527.06,"1,517.69","1,527.55","1,512.29",,0.75%,2.55210001282804,2.6675824332575337,2.833612057901323
01/04/2022,1583.65,"1,596.46","1,611.08","1,579.81",,-0.19%,2.2524068107720003,2.6148147046726082,2.7661627875538963
01/04/2023,1359.59,"1,357.17","1,360.04","1,351.96",,0.34%,2.5310885165923462,2.676204485742456,2.707231523924198
01/04/2024,1301.57,"1,312.69","1,314.63","1,298.42",,-0.98%,1.236081179469059,2.5702769384619,2.6682393398822906
01/05/2015,1755.99,"1,775.50","1,775.59","1,751.07",,-1.30%,2.9890286477470585,3.0735914039039764,2.921100018160175
01/05/2016,1479.92,"1,480.09","1,485.64","1,473.32",,0.06%,3.2670306412077994,2.77200167555976,2.851715225210914
01/05/2017,1529.99,"1,522.90","1,537.92","1,522.85",,1.17%,3.265363121179625,2.6468402025074305,2.848483642217988
