Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,11125.95,"11,176.77","11,190.59","11,103.40",,-0.07%,,,
01/02/2017,11788.76,"11,711.19","11,819.05","11,666.90",,0.61%,,,
01/02/2018,12458.36,"12,453.59","12,489.31","12,410.86",,0.18%,,,
01/02/2019,11282.23,"11,264.34","11,317.67","11,047.92",,-0.12%,,,
01/02/2020,14355.47,"14,083.12","14,364.03","14,083.12",,2.16%,,,
01/02/2023,16271.50,"16,132.96","16,271.50","16,120.92",,1.67%,2.1163328843056335,,
01/02/2024,18683.50,"18,773.66","18,877.93","18,602.67",,-0.24%,2.1411834295495766,,
01/02/2025,19639.59,"19,432.01","19,656.66","19,400.45",,1.33%,2.149239375852648,,
01/03/2017,11848.14,"11,789.37","11,896.06","11,786.06",,0.50%,4.088229511041177,,
01/03/2018,12531.29,"12,486.21","12,556.51","12,449.55",,0.59%,3.577152773506422,,
01/03/2019,11176.89,"11,269.73","11,297.13","11,152.92",,-0.93%,3.4112806823267774,2.9052445904389215,
01/03/2020,14176.53,"14,306.11","14,306.11","14,126.48",,-1.25%,3.9189788739644245,3.1662540798462633,
01/03/2022,20038.14,"19,896.81","20,112.15","19,896.81",,0.85%,5.047267411955382,3.6862875857871877,
01/03/2023,16376.38,"16,227.54","16,508.18","16,227.54",,0.64%,3.977525528175008,3.82376330613953,
01/03/2024,18350.89,"18,667.05","18,679.93","18,262.55",,-1.78%,3.9706296837018495,3.6667252762019027,
01/03/2025,19679.85,"19,623.50","19,705.67","19,591.42",,0.20%,3.552854062727922,3.640779986387367,
01/04/2016,10746.71,"10,966.29","10,966.29","10,744.80",,-3.50%,5.204800579250109,4.346549181276822,
01/04/2017,11828.03,"11,850.66","11,880.21","11,797.68",,-0.17%,3.9352191612818763,4.374870152696927,
01/04/2018,12665.92,"12,574.33","12,686.68","12,574.33",,1.07%,3.8833314951998887,3.8137520813791883,
01/04/2019,11523.50,"11,187.35","11,540.76","11,187.35",,3.10%,3.693506019212858,3.862074943915263,
01/04/2021,15278.03,"15,173.09","15,404.57","15,173.09",,1.12%,4.594295647951912,4.064502544228651,3.4593269762341756
01/04/2022,20136.62,"20,104.89","20,230.65","20,091.08",,0.49%,2.8108854299269734,4.141117699046484,3.5963861958366983
01/04/2023,16581.95,"16,427.95","16,584.72","16,420.50",,1.26%,3.650032443990182,3.8151998300235648,3.6883334676236927
01/04/2024,18362.83,"18,375.46","18,402.80","18,241.84",,0.07%,3.6474283740173044,3.6793432886159243,3.6584073171299414
01/05/2015,11070.64,"11,093.18","11,158.99","11,059.45",,-0.50%,5.028600463792422,4.235678729449535,3.8895481127831175
01/05/2016,10681.06,"10,857.80","10,866.17","10,657.10",,-0.61%,4.318618251079373,4.209805161573166,3.8698180242303093
01/05/2017,11760.81,"11,824.96","11,824.96","11,760.81",,-0.57%,3.365625044546107,3.4774259026805567,3.851169379760561
01/05/2018,12742.06,"12,696.20","12,742.06","12,689.62",,0.60%,3.4020512968442906,3.46905665674243,3.8576246211837835
01/05/2021,15240.33,"15,216.47","15,363.20","15,199.56",,-0.25%,3.6720166635482854,3.565195278970843,3.5936061370730776
01/05/2022,20006.36,"20,154.18","20,177.96","20,006.36",,-0.65%,2.070266234738096,3.7134965939277977,3.722355529279782
01/05/2023,16696.61,"16,552.65","16,707.48","16,509.71",,0.69%,2.806873576623344,3.634189784676483,3.7605130811859304
01/05/2024,18159.52,"18,282.81","18,297.96","18,153.07",,-1.11%,2.8098581239006286,3.299453989650378,3.674721839442575
01/06/2025,19673.06,"19,684.03","19,692.39","19,633.85",,-0.03%,2.8098961096261874,3.1389934498628067,3.4073707252426537
01/07/2015,10825.12,"10,913.41","10,971.96","10,825.12",,-2.22%,4.618670526883229,3.935926767977287,3.737961218783147
01/07/2016,10453.58,"10,408.55","10,534.07","10,216.96",,-2.13%,3.5464866419566223,3.3335479231526386,3.7178988374766577
01/07/2019,11573.74,"11,590.54","11,614.72","11,521.93",,0.44%,3.731985275570753,3.346563458595603,3.7285495383625897
01/07/2020,14249.63,"14,178.78","14,331.45","14,178.78",,0.52%,4.158988206728224,3.4825452020559617,3.388756100850335
01/07/2021,15634.94,"15,542.35","15,647.43","15,496.95",,2.59%,4.180232065801904,3.4874657020769435,3.3879550567284222
01/07/2022,19603.17,"19,783.29","19,820.27","19,519.19",,-2.02%,1.847234232365475,3.567881527931721,3.472200914205063
01/07/2025,19856.48,"19,880.79","19,998.11","19,721.90",,0.93%,1.5939189325129335,3.2593687211516866,3.436952741297739
01/08/2015,11098.68,"10,953.60","11,110.87","10,888.18",,2.53%,4.4708020314532355,3.928950431295083,3.697615759348564
01/08/2016,10389.93,"10,493.72","10,624.48","10,389.93",,-0.61%,4.114134415508895,3.9022620559144854,3.526558822068003
01/08/2018,12804.70,"12,800.78","12,826.25","12,757.01",,0.49%,4.470311803655967,4.08082379766085,3.560513823664629
01/08/2019,11703.82,"11,592.93","11,759.13","11,579.59",,1.12%,3.8583653048420294,3.30702757050915,3.560828610648932
01/08/2020,14245.84,"14,160.80","14,257.25","14,078.81",,-0.03%,4.370521093362744,3.4075279595809187,3.2955104073004753
01/08/2021,15729.93,"15,729.61","15,776.93","15,672.52",,0.61%,2.3927528197154198,3.406311017797026,3.2921313992152546
01/08/2024,18323.29,"18,192.83","18,323.34","18,093.08",,0.90%,2.047742027122088,3.3259996585614866,3.314508632783279
01/08/2025,19910.83,"19,860.81","19,964.56","19,752.84",,0.27%,1.821956865842451,3.3221431692925973,3.3149932420665693
01/09/2015,11012.45,"11,065.56","11,138.86","10,973.96",,-0.78%,4.268967177683927,3.916447447152197,3.696183157065524
01/09/2017,11684.79,"11,760.25","11,785.87","11,640.61",,-0.65%,3.9592192921375364,3.9358546365506486,3.531795178972181
01/09/2018,12899.82,"12,820.00","12,920.79","12,812.86",,0.74%,3.95888072904792,3.1683432086101573,3.4910117710966335
01/09/2019,11808.16,"11,760.94","11,854.26","11,724.58",,0.89%,3.6655489979815923,3.1885699315644405,3.4977355554874827
01/09/2020,14258.67,"14,347.98","14,363.81","14,235.92",,0.09%,4.042894756530846,3.1476724683798216,3.560671478158122
01/09/2023,17136.71,"16,865.16","17,138.05","16,865.16",,2.64%,1.9038334162478636,3.175078532550626,3.165103276338355
01/09/2024,18210.74,"18,367.32","18,367.32","18,113.00",,-0.61%,1.9018870612445067,3.055520422648368,3.1510445193821095
01/09/2025,19964.72,"19,913.64","20,001.38","19,847.47",,0.27%,1.9012174156386514,3.0515905484854153,3.1487215415149876
01/10/2017,11688.89,"11,684.01","11,738.82","11,660.18",,0.04%,4.079079236563329,3.7273843053094318,3.4747895258453076
01/10/2018,12876.49,"12,888.59","12,888.59","12,821.88",,-0.18%,3.8529527454916552,3.739274844565729,3.476144774169596
01/10/2019,11806.16,"11,751.23","11,819.98","11,680.63",,-0.02%,3.469106355416702,2.904978289244556,3.378008625625482
01/10/2020,14185.41,"14,279.28","14,288.75","14,177.26",,-0.51%,3.864244041624494,3.0360547781147713,3.451883656052482
01/10/2022,19120.07,"19,712.35","19,726.66","19,069.19",,-2.46%,4.668720593242682,3.4058285925982252,3.208684275230365
01/10/2023,17051.45,"17,031.51","17,077.28","16,954.75",,-0.50%,3.0566298301368384,3.4364823277723007,3.2334099438274486
01/10/2024,18190.16,"18,179.89","18,236.13","18,133.51",,-0.11%,3.059688140524861,3.3401335127715757,3.160973729653003
01/10/2025,19684.20,"19,962.19","20,003.77","19,665.40",,-1.41%,2.690346789438394,3.2375045953592583,3.128245670144594
01/11/2016,10393.75,"10,351.63","10,487.08","10,347.07",,0.04%,4.7972381797879615,4.106756494142904,3.561647703677227
01/11/2017,11699.19,"11,688.20","11,739.20","11,620.20",,0.09%,3.9107535452045905,4.132163713478143,3.56964534643157
01/11/2018,12913.39,"12,924.92","12,936.10","12,827.57",,0.29%,4.037538521710137,3.5007170285955644,3.542122939034709
01/11/2019,11775.73,"11,840.00","11,878.42","11,741.68",,-0.26%,3.980184420348722,3.5314811647079716,3.5475886897641646
01/11/2021,15643.47,"15,726.93","15,776.28","15,626.03",,-0.55%,4.794959821726237,3.7970873658195345,3.301724051149814
01/11/2022,19316.28,"19,258.07","19,385.67","19,206.92",,1.03%,2.4852764571777457,3.8355665643162227,3.3718448282874935
01/11/2023,17286.55,"17,075.66","17,348.67","17,075.66",,1.38%,3.050134897531327,3.55435511143371,3.4094936043243402
01/11/2024,18147.05,"18,347.05","18,410.87","18,131.79",,-0.24%,3.0641417339028436,3.4866054390186627,3.377424559748594
01/12/2015,11085.29,"11,094.82","11,139.65","11,020.78",,0.66%,4.525836197773806,4.064765127898656,3.654008223929432
01/12/2016,10416.84,"10,384.62","10,553.46","10,371.44",,0.22%,3.629793926257109,4.034219505549677,3.596294186685029
01/12/2017,11642.81,"11,699.31","11,710.73","11,613.54",,-0.48%,3.099351450449217,3.2172554545037353,3.6134521242080746
01/12/2018,12901.23,"12,941.30","12,941.30","12,841.36",,-0.09%,3.339605240108324,3.204125239926248,3.617558772693126
01/12/2021,15786.92,"15,681.13","15,805.71","15,676.93",,0.92%,3.8117937853840256,3.335273847158962,3.328095423802627
01/12/2022,19500.41,"19,469.56","19,542.36","19,284.75",,0.95%,1.8877043793265114,3.376849942714514,3.3944155313097606
01/12/2023,17450.80,"17,331.09","17,529.06","17,236.22",,0.95%,2.170256698925762,3.157506153359185,3.4063802379814656
01/12/2024,18338.92,"18,209.95","18,373.45","18,209.95",,1.06%,2.218095100326619,2.953486261566973,3.3560967198797416
01/13/2015,11172.51,"11,062.32","11,197.58","11,060.86",,0.79%,4.13702619473954,3.558410297279393,3.471829565103044
01/13/2016,10493.51,"10,529.43","10,624.49","10,460.18",,0.74%,3.6436211672136105,3.5444406921688403,3.456201851107923
01/13/2017,11777.89,"11,644.50","11,777.89","11,644.50",,1.16%,3.131184091618858,2.963907660950216,3.475445936936716
01/13/2020,14247.35,"14,213.48","14,292.46","14,177.17",,0.44%,3.6973534877595293,3.0570255154634953,3.5415688517832247
01/13/2021,15813.59,"15,787.01","15,837.97","15,742.70",,0.17%,3.7850674506819257,3.052537746701082,3.056083159296463
01/13/2022,19455.93,"19,473.87","19,536.40","19,361.54",,-0.23%,1.8268261321666608,3.17647528852876,3.116533209549894
01/13/2023,17350.52,"17,421.54","17,438.16","17,253.74",,-0.57%,2.1319252481175517,3.1418278530294153,3.1552553675946418
01/13/2025,19625.77,"19,646.06","19,694.72","19,482.37",,-0.30%,2.1352968595788493,2.9906680864953903,3.137109182491337
01/14/2015,10933.83,"11,072.81","11,113.15","10,933.83",,-2.14%,4.266369420521675,3.7637515962437913,3.401725390650468
01/14/2016,10316.97,"10,411.29","10,411.29","10,222.92",,-1.68%,4.118044852325837,3.7498090655068346,3.2998365651518644
01/14/2019,11711.98,"11,702.41","11,741.25","11,683.61",,-0.54%,3.750215855027986,3.205535208903061,3.314825729023042
01/14/2020,14262.46,"14,258.31","14,281.00","14,114.63",,0.11%,4.216354126353959,3.2955829722726224,3.397184117027242
01/14/2021,15889.09,"15,813.84","15,900.65","15,813.84",,0.48%,4.18372164802493,3.29105853963832,3.0579756057449465
01/14/2022,19052.31,"19,264.58","19,322.67","19,037.87",,-2.07%,1.7241105100238465,3.277442026289981,3.0846635521087675
01/14/2025,19689.52,"19,740.56","19,787.70","19,669.53",,0.32%,1.1662212104881622,3.2626974050732,3.075367093723
01/15/2015,11087.51,"11,028.23","11,090.85","10,808.61",,1.41%,4.265481131082674,3.866781493971424,3.511267573029113
01/15/2016,10042.32,"10,316.44","10,378.93","9,977.27",,-2.66%,3.942335697606454,3.8586362082338574,3.4481725771124325
01/15/2018,12906.83,"12,899.67","12,921.97","12,851.51",,0.04%,4.502829959179228,4.097763758744343,3.4967541645055786
01/15/2019,11708.19,"11,788.64","11,832.66","11,674.86",,-0.03%,4.141199383594902,3.3596886810026896,3.4918080453826437
01/15/2020,14210.89,"14,261.52","14,275.10","14,162.14",,-0.36%,4.57551738321986,3.436986320522974,3.565541343355683
01/15/2021,15735.31,"15,860.64","15,890.55","15,667.06",,-0.97%,2.760281642766482,3.4221145125996255,3.23499107708706
01/15/2024,18201.19,"18,370.04","18,384.48","18,160.48",,-0.75%,2.2719872211996193,3.3536724276919325,3.236490163483568
01/15/2025,20211.27,"19,737.02","20,228.54","19,713.95",,2.65%,1.8361021191568618,3.3517452188184613,3.233302938841937
01/16/2015,11173.34,"11,043.93","11,183.77","11,019.03",,0.77%,4.273902858159332,4.037095205829159,3.623258974662088
01/16/2017,11714.15,"11,724.00","11,741.77","11,701.23",,-0.54%,3.9721894872791976,4.04296315451624,3.6091719880374398
01/16/2018,12880.45,"12,886.01","12,928.21","12,858.36",,-0.20%,3.9588346692086387,3.304815957716499,3.5348794255579308
01/16/2019,11814.40,"11,774.67","11,842.99","11,699.75",,0.91%,3.6933320136607746,3.292337952226455,3.5248586216619087
01/16/2020,14427.16,"14,239.98","14,427.16","14,239.98",,1.52%,4.068985951078673,3.1721069593332456,3.579959485358052
01/16/2023,17454.56,"17,397.36","17,461.37","17,305.21",,0.60%,1.98914972114708,3.198455701566208,3.204063128010653
01/16/2024,18080.37,"18,112.20","18,159.53","18,018.97",,-0.66%,2.011225530434932,3.087544445228711,3.1811915252697056
01/16/2025,20347.10,"20,347.27","20,400.45","20,267.67",,0.67%,2.0218334231504125,3.098928218834785,3.177953369202149
01/17/2017,11663.96,"11,714.15","11,717.11","11,597.94",,-0.43%,4.249093803705152,3.8238200801715387,3.5335126534800025
01/17/2018,12891.06,"12,846.78","12,934.69","12,812.23",,0.08%,3.9981215132883468,3.8192699266115064,3.5304942009363685
01/17/2019,11866.66,"11,812.64","11,887.60","11,743.28",,0.44%,3.5937646322662697,3.002544060594424,3.4796479752485405
01/17/2020,14527.31,"14,487.97","14,579.21","14,486.24",,0.69%,4.085632709444369,3.1651669370692983,3.565450569236948
