Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2019,571.74,572.6,575.88,570.84,,0.23%,,,
01/02/2020,566.31,560.51,567.35,560.51,,1.21%,,,
01/02/2024,477.32,473.05,478.37,472.23,,0.92%,,,
01/02/2025,460.08,464.2,466.02,459.2,,-1.15%,,,
01/03/2018,630.77,622.32,631.02,622.16,,1.69%,,,
01/03/2019,569.41,573.43,577.02,567.8,,-0.41%,3.293577708386026,,
01/03/2020,565.97,565.42,569.36,564.52,,-0.06%,3.2921026517896497,,
01/03/2023,551.86,550.9,553.68,550.27,,0.54%,2.9754401809407223,,
01/03/2024,474.81,477.07,477.88,473.51,,-0.53%,3.2253849283300955,,
01/03/2025,462.34,460.93,463.8,459.55,,0.49%,0.9050374720132591,,
01/04/2016,416.38,424.78,425.29,415.84,,-2.10%,0.9108447979637869,2.3595563560156685,
01/04/2017,530.43,523.48,530.43,523.48,,1.86%,2.5800242961586277,2.792556098202974,
01/04/2018,637.55,632.86,637.55,631.74,,1.07%,2.9379263606963235,2.78765159447613,
01/04/2019,576.79,569.44,576.93,565.9,,1.30%,2.777701209788079,2.8490789454824297,
01/04/2021,487.99,481.3,487.99,473.14,,1.25%,3.1273228609395742,2.2820634837044182,
01/04/2022,519.24,517.55,521.11,517.55,,0.58%,2.924972295634101,2.2661903313288327,
01/04/2023,550.22,552.15,553.88,547.94,,-0.30%,2.2458624200151784,2.2856622945173615,
01/04/2024,475.78,474.17,476.37,471.41,,0.20%,1.686382782993976,2.392150400465463,
01/05/2015,514.05,522.65,523.2,513.68,,-1.56%,1.8561649351262988,2.2987168437368672,
01/05/2016,412.14,418.69,419.48,411.45,,-1.02%,2.0756825645912564,2.5388889065848033,
01/05/2017,532.63,531.96,534.02,530.1,,0.41%,3.085840009673886,2.8526364115926186,2.59664348302291
01/05/2018,636.53,638.62,639.81,634.02,,-0.16%,3.335701258621793,2.693854939073499,2.6783830619543516
01/05/2021,500.25,487.05,500.25,486.32,,2.51%,3.6398699801157015,2.7636262867144117,2.734940135815513
01/05/2022,520.89,519.51,522.03,518.99,,0.32%,3.61697122550183,2.731176045429941,2.729321764203783
01/05/2023,547.91,550.06,551.12,546.45,,-0.42%,3.0421043405431787,2.5915990437573804,2.3992788870125663
01/05/2024,472.61,475.31,476.89,471.66,,-0.67%,2.5886730690801683,2.6989268552136614,2.4257372015663914
01/06/2015,509.87,506.42,510.25,502.63,,-0.81%,2.0832209322501973,2.7117737075052872,2.440902291782245
01/06/2016,415.09,412.02,415.75,409.81,,0.72%,1.9356146879436658,2.795909014364849,2.532865621743121
01/06/2017,531.68,532.68,534.18,530.19,,-0.18%,2.96649121277021,3.1189395052372673,2.666776354102021
01/06/2020,557.11,564.48,564.48,555.94,,-1.57%,2.9636904748441677,2.8705152561807794,2.6631670217315517
01/06/2021,494.87,501.32,503.89,493.2,,-1.08%,2.883915962498749,2.5997718118878397,2.6709844138051633
01/06/2022,511.35,518.03,518.03,511.35,,-1.83%,2.845221881966146,2.3860750925421366,2.500916490506933
01/06/2023,551.32,548.7,553.25,548.7,,0.62%,2.2352070846694825,2.128443266752712,2.411772129948596
01/06/2025,458.03,464.12,465.05,457.21,,-0.93%,1.7328224527152176,2.317116757638984,2.46563477610636
01/07/2015,519.41,509.81,519.41,509.53,,1.87%,2.039731129866046,2.4068607768013566,2.4390567673194448
01/07/2016,398.8,406.63,406.82,398.8,,-3.92%,2.5456924311041096,2.602808637017082,2.581444370634204
01/07/2019,583.93,576.79,586.18,576.79,,1.24%,4.3978139939368175,3.509694917429732,3.0613528962611154
01/07/2020,563.31,558.19,563.31,557.32,,1.11%,4.433788546448242,3.32199729790744,3.0144257466943123
01/07/2021,501.86,501.5,504.2,498.31,,1.41%,4.279495775454758,3.1311375757331,3.0428877954267843
01/07/2022,512.18,513.42,514.9,510.52,,0.16%,4.204849981881086,3.1248989096569764,2.9365538796944417
01/07/2025,464.95,459.5,466.34,459.22,,1.51%,3.7670932257221916,3.10557632213937,2.787726659699279
01/08/2015,528.4,521.6,529.65,521.6,,1.73%,1.5760911240395272,3.1704757492828235,2.742670524058021
01/08/2016,407.92,399.89,409.16,399.89,,2.29%,2.196915835398803,3.3777270657884646,2.757745945398099
01/08/2018,635.01,637.4,642.99,635.01,,-0.24%,4.75232058868788,4.273160311041645,3.3869661795459987
01/08/2019,583.6,584.48,585.75,581.75,,-0.06%,4.88341245761231,4.307168969731959,3.407869791080443
01/08/2020,554.29,562.39,562.39,552.42,,-1.60%,4.810376645029841,4.075787786115504,3.3674255139657485
01/08/2021,511.04,506.78,511.04,504.98,,1.83%,4.855468101295825,3.4195053676308103,3.381286034879617
01/08/2024,469.62,472.58,472.58,467.13,,-0.63%,4.472087328154468,3.4418600565837023,3.3169087168811706
01/08/2025,463.96,464.9,465.51,460.57,,-0.21%,0.47629614759802547,3.390291238146315,3.1762593703120294
01/09/2015,528.8,531.14,531.39,527.57,,0.08%,1.4532848901658932,3.4537595820840905,3.2075554911963042
01/09/2017,529.08,531.99,532.27,527.6,,-0.49%,1.4230445446178674,3.39956152086646,3.1736999814669034
01/09/2018,635.29,635.07,636.3,630.52,,0.04%,1.848729483377955,3.4703380405381457,3.238171178021789
01/09/2019,582.55,586.54,590.42,581.25,,-0.18%,1.8575169639790157,3.228524104786673,3.255642821757537
01/09/2020,560.83,555.65,561.22,555.65,,1.18%,1.917593759678483,1.5814917093062495,3.186859137730162
01/09/2023,557.23,554.59,558.11,554.59,,1.07%,1.7300709696926804,1.5288050400369946,3.1630253528773262
01/09/2024,468.59,472.27,472.86,467.82,,-0.22%,2.1368621130370937,1.7139613962005633,3.095726089741439
01/09/2025,456.94,462.03,462.46,456.49,,-1.51%,0.9702969725962353,1.6766301406019442,2.6224703536518366
01/10/2017,531.51,529.01,532.68,528.79,,0.46%,1.8299682707657408,1.8142831872774294,2.6821485030519105
01/10/2018,634.79,638.23,639.56,633.57,,-0.08%,2.3108950656649045,2.0039385467252107,2.7212388092736344
01/10/2019,582.47,582.33,586.79,577.96,,-0.01%,2.4521368209526955,2.000872755525458,2.7473688517482286
01/10/2020,560.15,561.15,562.22,557.29,,-0.12%,2.012517155373634,2.0190154175751136,2.7250541415444096
01/10/2022,511.88,512.4,514.06,510.15,,-0.06%,2.1815484873686724,1.7689875617027415,2.715052372800387
01/10/2023,557.44,557.52,558.31,554.55,,0.04%,1.9474577470780792,1.7970788668157773,2.575504691551721
01/10/2024,468.67,469.25,470.72,467.44,,0.02%,1.4550460277034536,1.9665067340477331,1.7369749062629787
01/10/2025,459.26,457.07,460.63,452.69,,0.51%,1.4494940044627176,1.9668112118665262,1.7171221403999315
01/11/2016,403.8,403.54,404.41,398.15,,-1.01%,1.5476892786095153,1.8948807969416708,1.7586761214064568
01/11/2017,530.45,531.27,534.37,530.45,,-0.20%,3.017582389993171,2.4836790939364097,2.0783986743437493
01/11/2018,638.3,634.77,638.42,630.57,,0.55%,3.2788587827022933,2.553239731401012,2.1576463548701863
01/11/2019,585.89,582.41,585.92,581.39,,0.59%,3.0135467964189435,2.4270618233962757,2.187188060309822
01/11/2021,509.06,511.15,515.19,506.31,,-0.39%,3.287378444583637,2.4859334457581324,2.2021756629112144
01/11/2022,515.64,511.91,516.0,511.91,,0.73%,3.009502708299925,2.478954516781597,2.2021551247145106
01/11/2023,553.68,556.56,557.3,552.23,,-0.67%,2.095596106935097,2.4496274532068285,2.0978856185325268
01/11/2024,467.36,469.91,470.26,467.02,,-0.28%,1.5451710352624568,2.5568408309721757,2.151842328984975
01/12/2015,526.45,526.74,530.18,524.47,,-0.44%,1.9764262622981443,2.480191015655316,2.194964773424984
01/12/2016,414.79,403.45,414.79,403.43,,2.72%,2.3288751195484823,2.744654372099811,2.327223509165133
01/12/2017,528.42,532.3,533.27,528.05,,-0.38%,3.2095619824061936,2.9542843561039995,2.4507650834458192
01/12/2018,642.32,638.3,644.88,638.3,,0.63%,3.500421935926278,2.734879435509645,2.5432938391296
01/12/2021,509.78,509.07,510.77,506.02,,0.14%,3.699628354547679,2.7909291463627044,2.621546255400136
01/12/2022,518.87,519.11,519.78,516.58,,0.63%,3.618294060681467,2.7620647777726592,2.530620095207537
01/12/2023,553.53,554.32,555.1,550.84,,-0.03%,2.9890246582359516,2.6732292970211433,2.520327924633219
01/12/2024,469.01,467.67,470.11,466.92,,0.35%,2.7084747845177737,2.8133539671151135,2.58081370812636
01/13/2015,525.46,521.55,527.66,519.72,,-0.19%,2.2507961725202574,2.854782299936878,2.5899211592032425
01/13/2016,425.89,415.89,426.02,415.89,,2.68%,2.169704548606442,2.9136092259541666,2.669896131051867
01/13/2017,530.92,528.64,531.92,528.02,,0.47%,2.9411874086862846,3.1086032230308307,2.7371965768631785
01/13/2020,560.21,561.92,563.13,557.61,,0.01%,2.9302480444655647,2.831765867051967,2.73560458505939
01/13/2021,512.53,512.54,517.67,510.75,,0.54%,2.716642794971383,2.5806431361547935,2.7134579344654295
01/13/2022,517.32,519.29,520.15,516.21,,-0.30%,2.5943141428762844,2.3118394940879186,2.490841842683109
01/13/2023,551.34,553.6,556.46,548.88,,-0.40%,1.91960909846133,2.0604016244339283,2.3955430036541765
01/13/2025,454.52,456.86,458.04,452.9,,-1.03%,1.6292587937803575,2.2721154540891253,2.461921644987021
01/14/2015,519.86,527.54,529.79,519.86,,-1.07%,1.9892226704922285,2.3698891181307835,2.4628586821452716
01/14/2016,417.97,424.13,424.13,417.1,,-1.86%,2.3767314322739943,2.458279012864441,2.5716836787696176
01/14/2019,580.04,584.1,584.49,578.6,,-1.00%,3.842906007315823,3.107251654631819,2.9073420809248045
01/14/2020,560.01,559.47,562.15,556.94,,-0.04%,3.8748183376227803,2.8962475707201145,2.8423578497578483
01/14/2021,509.09,511.91,514.54,508.67,,-0.67%,3.6379065914027535,2.7177828748298154,2.84305229717943
01/14/2022,515.64,517.09,517.27,514.01,,-0.32%,3.524179323933865,2.705477540320382,2.7161215431802184
01/14/2025,451.27,455.91,456.31,451.25,,-0.72%,3.282646208037676,2.7490014298804644,2.596101351627426
01/15/2015,521.64,523.48,526.87,521.37,,0.34%,1.7425472819912444,2.859587020351676,2.5397835421867034
01/15/2016,407.98,419.08,420.93,407.45,,-2.39%,2.2698417758349088,3.0641821453943914,2.5526015676954765
01/15/2018,648.02,645.58,649.79,645.58,,0.89%,5.015940191980288,4.1449937269246,3.297812741099388
01/15/2019,578.16,580.49,583.62,576.76,,-0.32%,5.192130413662211,4.198846404599395,3.329555143558463
01/15/2020,555.61,559.02,559.29,554.11,,-0.79%,5.034285940327596,4.024976062307951,3.275107795401309
01/15/2021,503.01,509.45,512.37,502.12,,-1.19%,5.0973233582071735,3.608526200721642,3.282080803933394
01/15/2024,465.96,469.4,469.72,464.64,,-0.65%,4.754213461092801,3.625755399721417,3.211120434341165
01/15/2025,458.01,452.41,458.01,449.36,,1.49%,0.6019327819362914,3.592215786870116,3.10019786538766
