Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,1964.31,"1,969.04","1,977.39","1,952.51",,-0.02%,,,
01/02/2018,2565.61,"2,553.39","2,565.67","2,552.79",,0.83%,,,
01/02/2019,2386.12,"2,356.18","2,394.65","2,345.89",,0.11%,,,
01/02/2020,3102.58,"3,090.60","3,102.72","3,081.67",,0.85%,,,
01/02/2024,4521.92,"4,523.28","4,533.44","4,502.82",,-0.66%,,,
01/02/2025,5607.51,"5,644.42","5,668.91","5,570.96",,-0.17%,3.0857494243156274,,
01/03/2017,2147.47,"2,137.47","2,152.68","2,135.53",,0.85%,6.750773099626305,,
01/03/2018,2582.16,"2,566.55","2,583.29","2,566.55",,0.65%,6.691618107721497,,
01/03/2019,2328.05,"2,369.43","2,369.43","2,327.12",,-2.43%,6.600330765839387,,
01/03/2020,3081.74,"3,076.91","3,092.05","3,075.23",,-0.67%,6.113856074356319,,
01/03/2022,4620.41,"4,605.62","4,620.44","4,584.26",,0.58%,6.948015332877361,5.298848496113287,
01/03/2023,3624.41,"3,659.98","3,677.31","3,597.45",,-0.43%,4.695634285741472,5.523013433109825,
01/03/2024,4483.14,"4,497.53","4,506.30","4,479.18",,-0.86%,4.729740304608551,5.4697211578049645,
01/03/2025,5681.28,"5,633.35","5,687.30","5,629.41",,1.32%,4.2072907984833385,5.443894476123237,
01/04/2016,1919.95,"1,932.37","1,932.37","1,898.35",,-1.53%,7.354144552184033,6.376978453543796,
01/04/2017,2160.93,"2,150.17","2,162.82","2,150.17",,0.63%,6.22863921747589,6.290449136607223,
01/04/2018,2592.49,"2,583.57","2,597.40","2,583.57",,0.40%,6.229184321064415,5.279602379677916,
01/04/2019,2408.47,"2,350.92","2,414.16","2,350.92",,3.45%,5.973906255308376,5.291903492568185,
01/04/2021,3614.13,"3,680.89","3,681.92","3,576.79",,-1.47%,6.86407747230389,5.631533290310789,
01/04/2022,4610.96,"4,620.66","4,638.78","4,589.80",,-0.20%,3.3193939207272507,5.588058539019047,
01/04/2023,3653.10,"3,644.43","3,671.60","3,619.12",,0.79%,4.472199109109066,5.351071313764439,5.259074062566349
01/04/2024,4468.47,"4,475.65","4,504.03","4,467.73",,-0.33%,4.495178840511168,5.204259352138,5.224025083204446
01/05/2015,1928.50,"1,959.54","1,959.54","1,925.34",,-1.82%,6.794371354485187,6.062115810289865,5.710444877108058
01/05/2016,1923.62,"1,922.75","1,928.50","1,911.89",,0.19%,5.479066984537915,5.8882051880056885,5.64975926969657
01/05/2017,2159.40,"2,159.85","2,161.68","2,151.32",,-0.07%,4.979769551705513,4.681462765158232,5.455425971077672
01/05/2018,2610.52,"2,595.16","2,610.52","2,595.16",,0.70%,5.214119336046417,4.732692462431827,5.44127390499777
01/05/2021,3640.58,"3,608.73","3,648.93","3,608.73",,0.73%,5.792874756206837,4.9790981393219615,4.994684947515993
