Date,Price,Open,High,Low,Vol.,Change %,5D_Vol,10D_Vol,20D_Vol
01/02/2015,1926.70,"1,934.78","1,943.70","1,916.83",,-0.27%,,,
01/02/2018,2216.61,"2,227.47","2,227.47","2,209.35",,-0.51%,,,
01/02/2019,1948.51,"1,943.26","1,953.72","1,910.05",,0.09%,,,
01/02/2020,2174.22,"2,158.03","2,180.14","2,158.03",,0.81%,,,
01/02/2024,2213.14,"2,215.84","2,223.81","2,203.02",,-0.10%,,,
01/02/2025,2357.44,"2,329.98","2,360.46","2,328.44",,1.08%,1.680401390139795,,
01/03/2017,2088.46,"2,079.40","2,096.17","2,079.40",,0.53%,1.6907766567336344,,
01/03/2018,2222.88,"2,216.52","2,228.25","2,214.02",,0.28%,1.390687627735598,,
01/03/2019,1938.14,"1,946.06","1,955.09","1,935.42",,-0.53%,1.5132160062085043,,
01/03/2020,2179.94,"2,172.22","2,180.94","2,159.64",,0.26%,1.8334191836606124,,
01/03/2023,2174.37,"2,144.52","2,193.90","2,144.52",,1.42%,1.7483921618957716,1.6851062107655501,
01/03/2024,2201.80,"2,212.42","2,219.46","2,192.76",,-0.51%,1.4906562088218651,1.5133737635946096,
01/03/2025,2347.21,"2,355.07","2,360.44","2,346.06",,-0.43%,1.4942561390020401,1.3668494149540298,
01/04/2016,1775.15,"1,815.72","1,815.72","1,769.02",,-2.38%,2.2326627222429605,1.800191977120611,
01/04/2017,2092.05,"2,088.47","2,092.05","2,085.94",,0.17%,2.456343770141582,2.0434241539889744,
01/04/2018,2230.09,"2,224.17","2,231.88","2,222.68",,0.32%,2.495893113250217,2.0441014822146872,
01/04/2019,1979.38,"1,940.49","1,982.97","1,940.49",,2.13%,2.658760722036362,2.0414415779387944,
01/04/2021,1840.86,"1,815.32","1,867.49","1,815.32",,1.70%,2.5910137030853777,2.0389359083656227,
01/04/2022,2117.07,"2,083.32","2,120.39","2,083.32",,1.72%,2.0586637333120517,2.06908964184888,
01/04/2023,2181.15,"2,170.95","2,189.10","2,170.95",,0.31%,1.6744162233294513,1.9838217212894602,
01/04/2024,2214.67,"2,203.81","2,216.04","2,202.40",,0.58%,1.610427304814208,1.9833235144473205,1.792370763774465
01/05/2015,1888.03,"1,925.23","1,934.67","1,884.55",,-2.01%,1.778743195602102,2.132969359287953,1.8019105859729392
01/05/2016,1787.63,"1,778.69","1,796.03","1,770.92",,0.70%,1.74333351683505,2.1028148719116526,1.7579043323898949
01/05/2017,2093.90,"2,092.03","2,099.31","2,087.45",,0.09%,1.8620125058973453,1.8793414812674647,1.8157447217657308
01/05/2018,2238.10,"2,230.09","2,239.14","2,228.31",,0.36%,1.9166463526478956,1.6967567553999359,1.8296767495200452
01/05/2021,1853.39,"1,839.71","1,855.74","1,834.94",,0.68%,2.3102616898901474,1.8931943835412677,1.9210759223689817
01/05/2022,2120.92,"2,115.48","2,124.24","2,111.28",,0.18%,2.275926900978003,1.9494459407700377,1.9448853463194686
01/05/2023,2196.18,"2,178.09","2,202.92","2,174.95",,0.69%,2.1507363230587315,1.8936756757079636,1.9364999203477011
01/05/2024,2205.73,"2,210.41","2,210.41","2,192.56",,-0.40%,1.862905097309309,1.759293649116235,1.8701425659145745
01/06/2015,1873.84,"1,889.23","1,898.95","1,863.38",,-0.75%,2.1072210852330353,1.9262819608629826,1.9074625638100946
01/06/2016,1768.94,"1,786.22","1,786.22","1,753.11",,-1.05%,1.7351392843083158,1.9349853168814959,1.91765428184389
01/06/2017,2098.29,"2,093.75","2,098.29","2,089.67",,0.21%,1.9706235362771622,2.020616885705123,2.0320745731989702
01/06/2020,2167.17,"2,174.54","2,174.54","2,154.06",,-0.59%,1.9680295720160197,1.981652283850254,2.0223648710376927
01/06/2021,1917.81,"1,862.13","1,922.73","1,861.08",,3.48%,2.139452422770975,1.9160333544888948,1.8583258940689
01/06/2022,2104.21,"2,117.42","2,117.42","2,094.88",,-0.79%,1.900769649749335,1.9503941672832077,1.7815530381112237
01/06/2023,2214.64,"2,197.95","2,215.07","2,197.48",,0.84%,1.7447107623249332,1.704146675184961,1.7761890034049144
01/06/2025,2354.32,"2,345.00","2,354.32","2,339.14",,0.30%,1.3063785810727753,1.5871037747398258,1.730151767108851
01/07/2015,1889.47,"1,878.08","1,900.75","1,873.91",,0.83%,2.045480031060106,1.9023832341491207,1.8663881229469996
01/07/2016,1734.44,"1,755.16","1,755.16","1,715.43",,-1.95%,1.9604319987487697,1.9354703334747319,1.8132068613630543
01/07/2019,1971.78,"1,981.57","1,988.21","1,962.14",,-0.38%,2.115351577839754,1.9177061872994003,1.8779078190083096
01/07/2020,2166.39,"2,168.65","2,175.38","2,163.24",,-0.04%,2.2180052964911847,1.9218084955278771,1.908967379796262
01/07/2021,1920.93,"1,924.25","1,934.56","1,904.28",,0.16%,2.2739177509320756,1.8134124800998115,1.8761078930649593
01/07/2022,2115.62,"2,103.97","2,115.62","2,098.86",,0.54%,1.849599183086701,1.8822943230223708,1.8898330658323066
01/07/2025,2353.27,"2,353.40","2,354.70","2,337.22",,-0.04%,1.619404584792797,1.8241886628873787,1.8360861990634885
01/08/2015,1933.72,"1,898.13","1,936.82","1,898.13",,2.34%,2.2049015053312013,2.0386003777219557,1.941805817184661
01/08/2016,1722.00,"1,734.60","1,751.62","1,722.00",,-0.72%,2.1368446278039106,2.082126576216515,1.8801822127648171
01/08/2018,2229.92,"2,237.86","2,240.95","2,228.58",,-0.37%,3.0110100241054143,2.5938114207534126,2.094039383948385
01/08/2019,1985.71,"1,972.05","1,996.92","1,970.59",,0.71%,3.1285842166293514,2.4329270925890665,2.1341335034930986
01/08/2020,2166.95,"2,163.06","2,168.17","2,152.41",,0.03%,3.0850666010136742,2.3943046877623346,2.156811421007214
01/08/2021,1925.60,"1,922.91","1,928.36","1,914.68",,0.24%,2.873834690346647,2.4155293071417296,2.1229698813028546
01/08/2024,2206.50,"2,204.22","2,206.50","2,190.82",,0.03%,2.7682610224559148,2.4761634621975146,2.160677448627421
01/08/2025,2355.73,"2,355.44","2,359.62","2,338.03",,0.10%,1.8979135721666898,2.3838783922024263,2.0790533036055185
01/09/2015,1914.37,"1,932.19","1,933.89","1,905.75",,-1.00%,2.268508426235834,2.576325399994128,2.196081413105968
01/09/2017,2106.12,"2,101.75","2,107.72","2,097.47",,0.37%,2.2915089399571835,2.562369225458204,2.1755500443374145
01/09/2018,2239.90,"2,230.42","2,240.42","2,230.42",,0.45%,2.0669844297428384,2.3706022719870643,2.1616386108868255
01/09/2019,1998.18,"1,994.71","2,007.32","1,994.65",,0.63%,2.0169292543859667,2.368123581657196,2.1964686110901424
01/09/2020,2172.48,"2,169.15","2,181.51","2,169.15",,0.26%,2.0702528518033163,1.8846326407431813,2.2067430964069596
01/09/2023,2219.90,"2,215.14","2,220.66","2,210.66",,0.24%,1.3367903641446375,1.7753827564480522,2.0729431502502433
01/09/2024,2204.57,"2,208.56","2,213.47","2,202.29",,-0.09%,1.207570908658549,1.7282991575137203,2.04268433425556
01/09/2025,2375.28,"2,355.07","2,376.15","2,353.86",,0.83%,1.2486400319232842,1.6220006843894137,2.008162397877369
01/10/2017,2116.66,"2,106.95","2,119.51","2,106.95",,0.50%,1.254592273130959,1.5994789871728656,2.0310764864714805
01/10/2018,2245.62,"2,239.93","2,247.85","2,236.38",,0.26%,1.1690348057100282,1.5919554409910412,1.9884495873532326
01/10/2019,2006.89,"1,996.93","2,008.30","1,982.78",,0.44%,1.4089460045657651,1.3599607264390927,2.0057261860435416
01/10/2020,2169.10,"2,175.51","2,181.76","2,168.41",,-0.16%,1.5753859585235295,1.3263608113068728,1.986360330008372
