"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2025","401.84","401.53","403.13","400.02","","0.12%"
"07/02/2025","401.34","399.65","402.04","397.90","","0.28%"
"07/01/2025","400.22","397.05","403.77","396.47","","0.57%"
"06/30/2025","397.97","395.34","398.07","390.49","","0.45%"
"06/27/2025","396.17","395.89","400.17","394.68","","0.28%"
"06/26/2025","395.05","396.42","396.42","390.43","","-0.29%"
"06/25/2025","396.18","403.84","403.93","395.97","","-2.48%"
"06/24/2025","406.24","404.97","407.78","403.45","","0.23%"
"06/23/2025","405.31","400.63","405.67","400.03","","1.37%"
"06/20/2025","399.84","401.06","403.33","399.18","","-0.07%"
"06/18/2025","400.14","399.15","402.88","397.75","","0.27%"
"06/17/2025","399.08","399.39","401.13","397.11","","-0.18%"
"06/16/2025","399.79","401.49","404.63","398.48","","-0.11%"
"06/13/2025","400.23","401.25","403.37","397.39","","-1.02%"
"06/12/2025","404.34","403.00","404.71","401.74","","0.41%"
"06/11/2025","402.70","405.71","407.23","401.16","","-0.64%"
"06/10/2025","405.29","403.15","405.70","402.88","","0.73%"
"06/09/2025","402.37","401.80","404.79","399.02","","0.08%"
"06/06/2025","402.05","401.88","403.72","399.89","","0.48%"
"06/05/2025","400.11","401.06","402.06","398.10","","-0.11%"
"06/04/2025","400.56","399.19","402.19","397.88","","0.16%"
"06/03/2025","399.93","400.15","401.00","396.97","","-0.39%"
"06/02/2025","401.48","398.52","401.55","394.50","","0.08%"
"05/30/2025","401.17","399.23","402.10","397.35","","0.08%"
"05/29/2025","400.85","397.63","402.41","396.85","","0.95%"
"05/28/2025","397.08","397.48","397.60","394.45","","-0.10%"
"05/27/2025","397.46","393.88","398.54","392.49","","1.73%"
"05/23/2025","390.70","390.15","391.86","388.20","","0.04%"
"05/22/2025","390.55","392.67","392.69","387.61","","-0.45%"
"05/21/2025","392.30","400.35","400.99","392.05","","-2.57%"
"05/20/2025","402.63","402.35","404.22","401.71","","-0.57%"
"05/19/2025","404.92","400.98","405.12","400.67","","0.16%"
"05/17/2025","404.28","400.22","404.28","404.28","","0.00%"
"05/16/2025","404.28","400.22","404.43","398.89","","1.25%"
"05/15/2025","399.28","393.33","399.33","393.10","","1.85%"
"05/14/2025","392.01","394.14","394.14","390.19","","-0.96%"
"05/13/2025","395.81","401.55","401.61","394.29","","-1.25%"
"05/12/2025","400.82","403.87","404.20","399.15","","0.24%"
"05/09/2025","399.88","397.03","401.10","396.41","","0.74%"
"05/08/2025","396.93","400.21","400.69","395.80","","-0.48%"
"05/07/2025","398.85","399.07","402.22","398.32","","0.01%"
"05/06/2025","398.83","398.94","401.80","396.51","","-0.59%"
"05/05/2025","401.18","401.63","403.61","399.26","","-0.29%"
"05/02/2025","402.34","402.17","403.42","400.41","","1.20%"
"05/01/2025","397.55","397.81","400.83","395.25","","0.10%"
"04/30/2025","397.17","392.55","398.00","389.63","","0.81%"
"04/29/2025","393.99","392.12","396.07","390.71","","0.42%"
"04/28/2025","392.35","389.29","392.99","388.33","","0.75%"
"04/25/2025","389.44","390.86","391.19","386.87","","-0.12%"
"04/24/2025","389.89","389.52","392.65","387.63","","0.19%"
"04/23/2025","389.15","392.86","396.54","386.76","","0.01%"
"04/22/2025","389.13","386.38","390.85","385.09","","1.89%"
"04/21/2025","381.92","386.67","387.21","377.11","","-2.04%"
"04/17/2025","389.87","385.82","392.86","385.68","","1.61%"
"04/16/2025","383.69","384.31","388.50","381.46","","-0.01%"
"04/15/2025","383.73","383.32","386.02","381.80","","0.25%"
"04/14/2025","382.77","378.26","384.95","377.40","","2.01%"
"04/11/2025","375.21","368.12","375.61","363.57","","1.34%"
"04/10/2025","370.25","374.02","378.28","361.23","","-2.15%"
"04/09/2025","378.37","352.59","379.85","344.35","","5.86%"
"04/08/2025","357.42","375.56","375.67","353.49","","-2.56%"
"04/07/2025","366.81","368.32","381.35","358.86","","-2.88%"
"04/04/2025","377.70","391.71","391.82","377.35","","-4.42%"
"04/03/2025","395.16","403.43","406.47","394.37","","-3.09%"
"04/02/2025","407.74","404.83","408.43","403.39","","0.42%"
"04/01/2025","406.03","407.72","407.72","401.08","","0.05%"
"03/31/2025","405.82","402.83","408.18","402.67","","0.74%"
"03/28/2025","402.85","404.04","404.47","400.05","","0.04%"
"03/27/2025","402.67","404.00","407.42","401.56","","-0.28%"
"03/26/2025","403.80","402.67","405.01","401.56","","0.59%"
"03/25/2025","401.43","405.48","406.08","398.89","","-1.20%"
"03/24/2025","406.30","402.41","406.83","401.66","","1.39%"
