"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","5,045.7","5,049.9","5,056.0","5,033.2","","-0.08%"
"07/03/2025","5,049.9","5,040.8","5,062.8","5,033.6","","0.18%"
"07/02/2025","5,040.8","5,015.4","5,049.3","4,993.0","","0.51%"
"07/01/2025","5,015.4","4,971.7","5,059.0","4,956.2","","0.88%"
"06/30/2025","4,971.7","4,967.8","4,973.1","4,904.5","","0.08%"
"06/27/2025","4,967.8","4,958.3","5,011.6","4,948.0","","0.19%"
"06/26/2025","4,958.3","4,935.0","4,962.0","4,898.6","","0.47%"
"06/25/2025","4,935.0","5,043.6","5,043.6","4,933.1","","-2.15%"
"06/24/2025","5,043.6","5,028.4","5,060.5","5,017.5","","0.30%"
"06/23/2025","5,028.4","4,963.6","5,031.5","4,949.7","","1.31%"
"06/20/2025","4,963.6","4,964.0","5,003.2","4,955.7","","-0.01%"
"06/18/2025","4,964.0","4,943.7","4,997.7","4,939.2","","0.41%"
"06/17/2025","4,943.7","4,974.4","4,977.6","4,927.0","","-0.62%"
"06/16/2025","4,974.4","4,966.9","5,032.7","4,963.4","","0.15%"
"06/13/2025","4,966.9","5,035.8","5,035.8","4,938.7","","-1.37%"
"06/12/2025","5,035.8","5,009.9","5,035.8","4,998.2","","0.52%"
"06/11/2025","5,009.9","5,033.8","5,064.4","4,992.6","","-0.47%"
"06/10/2025","5,033.8","4,978.8","5,036.0","4,978.8","","1.10%"
"06/09/2025","4,978.8","4,973.1","5,010.0","4,950.1","","0.12%"
"06/06/2025","4,973.1","4,938.7","4,986.3","4,938.7","","0.70%"
"06/05/2025","4,938.7","4,938.5","4,964.6","4,913.6","","0.00%"
"06/04/2025","4,938.5","4,921.4","4,954.4","4,905.4","","0.35%"
"06/03/2025","4,921.4","4,912.9","4,930.1","4,870.5","","0.17%"
"06/02/2025","4,912.9","4,923.1","4,923.1","4,838.0","","-0.21%"
"05/30/2025","4,923.1","4,935.4","4,935.4","4,884.4","","-0.25%"
"05/29/2025","4,935.4","4,889.5","4,948.4","4,885.5","","0.94%"
"05/28/2025","4,889.5","4,898.4","4,898.7","4,864.8","","-0.18%"
"05/27/2025","4,898.4","4,807.3","4,905.9","4,807.3","","1.89%"
"05/23/2025","4,807.3","4,806.7","4,822.5","4,779.0","","0.01%"
"05/22/2025","4,806.7","4,824.4","4,830.5","4,765.0","","-0.37%"
"05/21/2025","4,824.4","4,979.2","4,979.2","4,823.2","","-3.11%"
"05/20/2025","4,979.2","5,015.8","5,015.8","4,971.4","","-0.73%"
"05/19/2025","5,015.8","5,021.0","5,021.0","4,964.3","","-0.10%"
"05/16/2025","5,021.0","4,966.6","5,023.3","4,965.2","","1.10%"
