"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","0.56","0.56","0.57","0.55","2.51M","0.00%"
"07/04/2025","0.56","0.57","0.57","0.55","1.68M","-1.75%"
"07/03/2025","0.57","0.54","0.58","0.54","2.56M","5.56%"
"07/02/2025","0.54","0.51","0.55","0.51","5.48M","5.88%"
"06/30/2025","0.51","0.51","0.52","0.50","1.48M","-1.92%"
"06/27/2025","0.52","0.51","0.52","0.51","1.75M","1.96%"
"06/26/2025","0.51","0.50","0.52","0.50","2.55M","0.00%"
"06/25/2025","0.51","0.51","0.51","0.50","3.23M","-1.92%"
"06/24/2025","0.52","0.50","0.52","0.50","2.03M","4.00%"
"06/23/2025","0.50","0.50","0.51","0.50","1.22M","0.00%"
"06/20/2025","0.50","0.50","0.50","0.50","1.57M","0.00%"
"06/19/2025","0.50","0.50","0.50","0.50","470.22K","0.00%"
"06/18/2025","0.50","0.50","0.50","0.50","1.19M","0.00%"
"06/17/2025","0.50","0.50","0.50","0.49","661.00K","0.00%"
"06/16/2025","0.50","0.49","0.50","0.49","879.30K","0.00%"
"06/13/2025","0.50","0.50","0.50","0.49","832.46K","0.00%"
"06/12/2025","0.49","0.49","0.50","0.49","902.48K","0.00%"
"06/11/2025","0.49","0.49","0.50","0.49","1.70M","0.00%"
"06/10/2025","0.49","0.48","0.49","0.48","957.66K","1.04%"
"06/09/2025","0.48","0.48","0.49","0.48","1.34M","-1.03%"
"06/06/2025","0.49","0.48","0.49","0.48","1.20M","1.04%"
"06/05/2025","0.48","0.47","0.49","0.47","3.21M","0.00%"
"06/04/2025","0.47","0.48","0.48","0.47","964.15K","0.00%"
"06/03/2025","0.48","0.47","0.48","0.47","1.42M","0.00%"
"06/02/2025","0.48","0.47","0.48","0.47","1.65M","0.00%"
"05/30/2025","0.47","0.47","0.48","0.47","971.18K","0.00%"
"05/29/2025","0.48","0.48","0.48","0.47","1.69M","0.00%"
"05/28/2025","0.48","0.47","0.48","0.47","884.73K","0.00%"
"05/27/2025","0.47","0.47","0.48","0.47","1.70M","0.00%"
"05/26/2025","0.47","0.47","0.48","0.47","684.37K","0.00%"
"05/23/2025","0.47","0.48","0.48","0.47","863.33K","0.00%"
"05/22/2025","0.48","0.47","0.48","0.47","721.53K","0.00%"
"05/21/2025","0.48","0.47","0.48","0.47","1.57M","0.00%"
"05/20/2025","0.47","0.47","0.47","0.47","969.08K","0.00%"
"05/19/2025","0.47","0.47","0.47","0.47","1.93M","0.00%"
"05/16/2025","0.47","0.47","0.48","0.47","1.88M","0.00%"
"05/15/2025","0.47","0.47","0.47","0.47","2.79M","0.00%"
"05/14/2025","0.48","0.49","0.49","0.47","7.07M","0.00%"
"05/13/2025","0.48","0.47","0.48","0.47","724.59K","0.00%"
"05/12/2025","0.48","0.47","0.48","0.47","536.66K","0.00%"
"05/09/2025","0.47","0.47","0.47","0.47","2.81M","0.00%"
"05/08/2025","0.47","0.47","0.47","0.47","406.01K","0.00%"
"05/07/2025","0.47","0.47","0.47","0.47","964.21K","0.00%"
"05/06/2025","0.47","0.47","0.47","0.47","875.17K","0.00%"
"05/02/2025","0.47","0.47","0.47","0.47","824.11K","0.00%"
