"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2025","3.550","3.520","3.550","3.550","3.87K","-9.44%"
"07/02/2025","3.920","3.920","3.920","3.920","0.22K","4.81%"
"07/01/2025","3.740","3.880","3.740","3.740","0.05K","-5.56%"
"06/30/2025","3.960","3.960","3.960","3.960","0.11K","9.70%"
"06/27/2025","3.610","3.870","3.610","3.610","0.02K","-2.70%"
"06/26/2025","3.710","3.870","3.710","3.710","0.70K","-7.25%"
"06/25/2025","4.000","3.760","4.000","3.560","8.40K","-5.66%"
"06/24/2025","4.240","4.000","4.240","4.000","0.35K","3.17%"
"06/23/2025","4.110","4.000","4.110","3.980","4.75K","5.70%"
"06/20/2025","3.888","3.990","4.370","3.800","7.38K","-2.06%"
"06/18/2025","3.970","3.600","3.970","3.510","1.51K","-0.75%"
"06/16/2025","4.000","4.000","4.000","4.000","0.30K","1.27%"
"06/13/2025","3.950","3.710","3.990","3.140","9.14K","5.33%"
"06/12/2025","3.750","4.000","3.750","3.750","0.02K","-6.25%"
"06/11/2025","4.000","3.710","4.000","3.710","0.20K","1.34%"
"06/10/2025","3.947","3.947","3.947","3.947","0.10K","1.21%"
"06/06/2025","3.900","3.710","3.910","3.710","1.10K","-1.27%"
"06/04/2025","3.950","4.000","4.600","3.892","28.41K","1.02%"
"06/03/2025","3.910","4.000","4.030","3.910","5.60K","-2.25%"
"06/02/2025","4.000","3.770","4.000","3.770","0.31K","0.00%"
"05/28/2025","4.000","4.000","4.000","4.000","1.02K","1.27%"
"05/27/2025","3.950","4.000","4.000","3.950","1.74K","-0.50%"
"05/23/2025","3.970","3.725","3.970","3.710","0.70K","5.59%"
"05/22/2025","3.760","4.000","3.760","3.760","0.05K","-0.79%"
"05/21/2025","3.790","3.895","3.895","3.720","1.03K","-5.25%"
"05/20/2025","4.000","4.000","4.000","4.000","0.45K","7.24%"
"05/19/2025","3.730","3.900","3.730","3.730","0.00K","-6.05%"
"05/16/2025","3.970","3.880","4.000","3.880","0.31K","-0.75%"
"05/15/2025","4.000","3.970","4.000","3.700","4.23K","2.31%"
"05/14/2025","3.909","3.750","3.909","3.750","0.94K","-0.35%"
"05/13/2025","3.923","4.000","4.000","3.700","18.90K","-1.92%"
"05/12/2025","4.000","4.000","4.000","4.000","0.13K","0.00%"
"05/09/2025","4.000","4.000","4.000","4.000","1.54K","0.00%"
"05/08/2025","4.000","4.000","4.000","4.000","10.00K","0.00%"
"05/07/2025","4.000","4.000","4.000","3.961","0.67K","-3.38%"
"05/06/2025","4.140","4.000","4.140","4.000","0.33K","-2.12%"
"05/05/2025","4.230","3.720","4.230","3.720","2.02K","6.01%"
"05/02/2025","3.990","3.990","4.000","3.730","3.78K","-0.25%"
"04/30/2025","4.000","4.000","4.200","3.810","21.82K","-3.53%"
"04/29/2025","4.147","4.147","4.147","4.147","0.10K","3.83%"
"04/28/2025","3.993","3.993","3.993","3.993","0.11K","5.37%"
"04/25/2025","3.790","3.875","4.000","3.750","2.80K","1.07%"
"04/24/2025","3.750","3.750","3.805","3.750","1.29K","-1.83%"
"04/22/2025","3.820","3.790","4.047","3.650","5.16K","-5.68%"
"04/21/2025","4.050","4.000","4.050","3.890","20.11K","0.00%"
"04/17/2025","4.050","4.050","4.094","3.990","8.04K","0.00%"
"04/16/2025","4.050","3.850","4.050","3.850","6.78K","2.53%"
"04/15/2025","3.950","3.950","3.950","3.805","0.98K","-1.25%"
"04/14/2025","4.000","4.000","4.010","4.000","3.22K","-1.23%"
"04/11/2025","4.050","3.950","4.300","3.950","7.45K","2.53%"
"04/10/2025","3.950","3.380","4.110","3.190","8.40K","9.72%"
"04/09/2025","3.600","3.140","3.600","3.001","4.77K","-0.23%"
"04/08/2025","3.608","3.630","3.820","3.440","1.22K","-10.52%"
"04/07/2025","4.032","3.840","4.032","3.820","0.43K","0.81%"
"04/03/2025","4.000","4.000","4.000","3.986","21.21K","-4.19%"
"04/02/2025","4.175","3.990","4.175","3.990","1.23K","4.90%"
"03/31/2025","3.980","3.726","3.980","3.726","0.89K","2.84%"
"03/25/2025","3.870","3.740","3.870","3.350","1.73K","-1.53%"
"03/20/2025","3.930","3.930","3.930","3.930","0.20K","-0.51%"
"03/17/2025","3.950","3.950","3.950","3.950","0.63K","-0.75%"
"03/14/2025","3.980","3.790","3.980","3.740","0.85K","-0.50%"
"03/13/2025","4.000","4.000","4.000","3.720","9.69K","0.00%"
"03/11/2025","4.000","3.990","4.000","3.960","3.65K","0.00%"
"03/10/2025","4.000","4.360","4.360","3.875","7.06K","-6.35%"
"03/07/2025","4.271","4.240","4.500","3.750","9.30K","1.69%"
"03/06/2025","4.200","4.350","4.350","3.900","0.96K","-2.78%"
"03/05/2025","4.320","4.130","4.350","4.130","0.39K","-0.46%"
"03/04/2025","4.340","4.340","4.340","4.340","1.68K","7.96%"
"03/03/2025","4.020","4.110","4.110","3.756","0.31K","1.52%"
"02/26/2025","3.960","3.960","3.960","3.960","0.11K","0.38%"
"02/25/2025","3.945","3.600","3.945","3.600","2.34K","4.93%"
"02/24/2025","3.760","3.750","3.900","3.690","4.37K","-3.59%"
"02/21/2025","3.900","3.754","3.900","3.754","0.22K","1.30%"
"02/20/2025","3.850","4.010","4.056","3.540","9.35K","-8.33%"
"02/19/2025","4.200","4.010","4.200","4.010","0.22K","2.44%"
"02/18/2025","4.100","4.150","4.200","4.100","2.03K","-3.53%"
"02/14/2025","4.250","4.225","4.305","4.225","1.47K","-3.19%"
"02/13/2025","4.390","4.145","4.390","4.145","0.31K","6.55%"
"02/12/2025","4.120","4.020","4.190","4.000","2.20K","-2.14%"
"02/07/2025","4.210","4.180","4.390","4.180","1.31K","-4.10%"
"02/06/2025","4.390","4.050","4.390","3.780","3.33K","0.00%"
"02/04/2025","4.390","4.200","4.390","4.000","0.74K","-0.90%"
"02/03/2025","4.430","4.100","4.450","4.100","2.55K","0.68%"
"01/31/2025","4.400","4.450","4.500","4.400","0.63K","-2.40%"
"01/29/2025","4.508","4.510","4.600","4.508","5.94K","0.62%"
"01/28/2025","4.480","4.201","4.500","4.200","8.12K","3.94%"
"01/27/2025","4.310","4.150","4.310","4.150","7.79K","3.86%"
"01/24/2025","4.150","4.160","4.420","4.020","8.96K","0.05%"
"01/23/2025","4.148","3.680","4.340","3.680","13.25K","12.11%"
"01/22/2025","3.700","3.400","3.830","3.400","36.88K","9.47%"
"01/21/2025","3.380","3.200","3.500","3.015","26.88K","6.96%"
"01/17/2025","3.160","3.240","3.240","2.990","25.85K","1.44%"
"01/16/2025","3.115","3.440","3.543","3.010","41.23K","4.88%"
"01/15/2025","2.970","2.880","3.015","2.720","2.05K","2.00%"
"01/14/2025","2.912","2.980","3.100","2.600","10.48K","-1.96%"
"01/13/2025","2.970","2.890","2.970","2.690","3.43K","2.41%"
"01/10/2025","2.900","3.040","3.040","2.900","1.29K","-1.79%"
"01/08/2025","2.953","2.830","3.390","2.800","8.39K","-1.57%"
"01/07/2025","3.000","2.900","3.050","2.834","8.90K","3.45%"
"01/06/2025","2.900","2.900","2.902","2.900","2.04K","-3.65%"
"01/03/2025","3.010","3.100","3.100","3.010","3.30K","-2.79%"
"01/02/2025","3.096","2.930","3.096","2.900","1.39K","1.39%"
"12/31/2024","3.054","3.383","3.700","2.910","2.41K","-4.56%"
"12/30/2024","3.200","3.050","3.200","3.050","12.26K","4.92%"
"12/27/2024","3.050","3.000","3.250","3.000","7.41K","1.67%"
"12/23/2024","3.000","3.000","3.260","2.925","9.70K","0.33%"
"12/18/2024","2.990","2.990","2.990","2.990","0.16K","6.03%"
"12/16/2024","2.820","2.820","2.820","2.820","0.55K","-6.00%"
"12/13/2024","3.000","3.050","3.200","2.880","7.49K","-1.64%"
"12/12/2024","3.050","3.120","3.120","3.050","0.97K","0.00%"
"12/11/2024","3.050","3.000","3.050","2.930","12.99K","1.67%"
"12/10/2024","3.000","3.090","3.110","2.780","9.98K","-3.23%"
"12/09/2024","3.100","2.550","3.360","2.550","16.57K","11.91%"
"12/06/2024","2.770","3.000","3.000","2.770","1.36K","-7.36%"
"12/04/2024","2.990","3.000","3.000","2.720","1.14K","3.46%"
"12/03/2024","2.890","3.100","3.150","2.710","15.92K","-9.69%"
"12/02/2024","3.200","3.300","3.300","3.200","0.45K","2.89%"
"11/29/2024","3.110","3.110","3.110","3.110","0.10K","-2.51%"
"11/27/2024","3.190","3.120","3.225","3.120","0.71K","2.90%"
"11/26/2024","3.100","3.190","3.190","3.100","0.44K","1.31%"
"11/25/2024","3.060","3.390","3.431","3.060","11.70K","-7.69%"
"11/22/2024","3.315","3.315","3.315","3.315","0.27K","2.31%"
"11/21/2024","3.240","3.120","3.540","3.010","15.13K","3.18%"
"11/20/2024","3.140","3.140","3.140","3.140","0.22K","-7.10%"
"11/19/2024","3.380","3.450","3.450","3.050","4.62K","1.81%"
"11/18/2024","3.320","2.940","3.530","2.810","19.81K","2.15%"
"11/15/2024","3.250","3.324","3.324","3.250","2.73K","-6.34%"
"11/14/2024","3.470","3.460","3.470","3.320","8.60K","-0.86%"
"11/13/2024","3.500","3.290","3.500","3.290","3.56K","1.60%"
"11/12/2024","3.445","3.500","3.500","3.445","0.38K","-4.31%"
"11/11/2024","3.600","3.590","3.600","3.490","2.34K","0.00%"
"11/08/2024","3.600","3.610","3.666","3.600","6.21K","0.00%"
"11/07/2024","3.600","3.600","3.740","3.600","8.64K","1.53%"
"11/06/2024","3.546","3.720","3.720","3.546","2.65K","-1.23%"
"11/05/2024","3.590","3.650","3.650","3.471","3.32K","4.97%"
"11/04/2024","3.420","3.600","3.600","3.420","6.28K","-5.00%"
"11/01/2024","3.600","3.600","3.650","3.577","9.97K","0.00%"
"10/31/2024","3.600","3.430","3.632","3.430","5.24K","-1.64%"
"10/30/2024","3.660","3.420","3.665","3.420","11.88K","0.27%"
"10/29/2024","3.650","3.630","3.686","3.600","21.37K","0.07%"
"10/28/2024","3.648","3.648","3.648","3.648","0.26K","4.21%"
"10/25/2024","3.500","3.608","3.608","3.500","1.83K","-2.23%"
"10/24/2024","3.580","3.600","3.650","3.580","14.21K","-1.51%"
"10/23/2024","3.635","3.600","3.640","3.600","8.90K","-0.14%"
"10/22/2024","3.640","3.500","3.640","3.500","16.74K","4.00%"
"10/21/2024","3.500","3.350","3.615","3.195","18.94K","5.74%"
"10/18/2024","3.310","3.310","3.310","3.179","5.16K","4.42%"
"10/17/2024","3.170","3.290","3.370","3.100","15.47K","-3.94%"
"10/16/2024","3.300","3.040","3.300","3.030","2.68K","6.45%"
