"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2025","0.84","0.83","0.85","0.82","2.83M","1.20%"
"07/04/2025","0.83","0.85","0.85","0.82","3.23M","-1.19%"
"07/03/2025","0.84","0.83","0.85","0.82","4.40M","1.20%"
"07/02/2025","0.83","0.87","0.88","0.82","8.85M","-4.60%"
"06/30/2025","0.87","0.84","0.87","0.83","6.03M","3.57%"
"06/27/2025","0.84","0.84","0.84","0.82","2.68M","1.20%"
"06/26/2025","0.83","0.82","0.84","0.81","4.06M","0.00%"
"06/25/2025","0.83","0.81","0.83","0.80","4.17M","2.47%"
"06/24/2025","0.81","0.80","0.82","0.80","2.02M","0.00%"
"06/23/2025","0.81","0.78","0.81","0.77","2.56M","3.85%"
"06/20/2025","0.78","0.78","0.79","0.77","3.04M","0.00%"
"06/19/2025","0.78","0.80","0.80","0.77","2.60M","-2.50%"
"06/18/2025","0.80","0.81","0.81","0.78","3.49M","0.00%"
"06/17/2025","0.80","0.82","0.82","0.80","4.19M","-2.44%"
"06/16/2025","0.82","0.80","0.83","0.80","4.59M","2.50%"
"06/13/2025","0.80","0.82","0.82","0.80","1.94M","-2.44%"
"06/12/2025","0.82","0.82","0.82","0.81","1.75M","0.00%"
"06/11/2025","0.82","0.78","0.82","0.78","5.21M","3.80%"
"06/10/2025","0.79","0.77","0.79","0.76","6.35M","2.60%"
"06/09/2025","0.77","0.75","0.77","0.75","3.82M","2.67%"
"06/06/2025","0.75","0.76","0.77","0.74","12.88M","-2.60%"
"06/05/2025","0.77","0.76","0.77","0.76","2.61M","0.00%"
"06/04/2025","0.77","0.75","0.78","0.75","5.22M","2.67%"
"06/03/2025","0.75","0.74","0.76","0.74","5.14M","2.74%"
"06/02/2025","0.73","0.74","0.74","0.72","3.60M","-1.35%"
"05/30/2025","0.74","0.74","0.75","0.73","1.90M","0.00%"
"05/29/2025","0.74","0.73","0.74","0.73","1.91M","0.00%"
"05/28/2025","0.74","0.74","0.74","0.73","682.42K","1.37%"
"05/27/2025","0.73","0.73","0.74","0.73","891.12K","0.00%"
"05/26/2025","0.73","0.73","0.74","0.72","3.25M","0.00%"
"05/23/2025","0.73","0.73","0.74","0.73","469.15K","0.00%"
"05/22/2025","0.73","0.74","0.74","0.73","2.91M","-1.35%"
"05/21/2025","0.74","0.75","0.76","0.74","4.73M","-1.33%"
"05/20/2025","0.75","0.75","0.76","0.74","4.28M","0.00%"
"05/19/2025","0.75","0.76","0.77","0.75","3.00M","-2.60%"
"05/16/2025","0.77","0.75","0.77","0.74","2.70M","2.67%"
"05/15/2025","0.75","0.77","0.77","0.74","4.52M","-2.60%"
"05/14/2025","0.77","0.76","0.77","0.75","5.08M","0.00%"
"05/13/2025","0.77","0.78","0.78","0.76","2.26M","0.00%"
"05/12/2025","0.77","0.75","0.78","0.74","4.97M","4.05%"
"05/09/2025","0.74","0.76","0.76","0.74","1.99M","-1.33%"
"05/08/2025","0.75","0.76","0.77","0.75","2.52M","-1.32%"
"05/07/2025","0.76","0.75","0.76","0.75","2.96M","1.33%"
"05/06/2025","0.75","0.74","0.75","0.73","2.30M","1.35%"
"05/02/2025","0.74","0.72","0.74","0.72","3.64M","1.37%"
"04/30/2025","0.73","0.73","0.74","0.72","2.22M","-1.35%"
"04/29/2025","0.74","0.73","0.74","0.73","796.43K","0.00%"
"04/28/2025","0.74","0.75","0.75","0.72","3.54M","-1.33%"
"04/25/2025","0.75","0.75","0.76","0.74","2.12M","0.00%"
"04/24/2025","0.75","0.72","0.75","0.71","3.67M","4.17%"
"04/23/2025","0.72","0.72","0.73","0.71","3.91M","1.41%"
"04/22/2025","0.71","0.71","0.72","0.70","1.37M","-1.39%"
"04/17/2025","0.72","0.70","0.72","0.69","4.01M","2.86%"
"04/16/2025","0.70","0.70","0.70","0.69","1.61M","0.00%"
"04/15/2025","0.70","0.70","0.71","0.69","3.23M","0.00%"
"04/14/2025","0.70","0.71","0.72","0.70","3.08M","-1.41%"
"04/11/2025","0.71","0.72","0.72","0.70","2.10M","-1.39%"
"04/10/2025","0.72","0.71","0.73","0.71","3.66M","1.41%"
"04/09/2025","0.71","0.72","0.72","0.67","7.87M","-2.74%"
"04/08/2025","0.73","0.75","0.75","0.72","5.50M","-3.95%"
"04/07/2025","0.76","0.81","0.81","0.75","12.52M","-7.32%"
"04/03/2025","0.82","0.81","0.82","0.80","3.02M","1.23%"
"04/02/2025","0.81","0.82","0.82","0.80","7.46M","-1.22%"
"04/01/2025","0.82","0.83","0.84","0.81","8.91M","-1.20%"
"03/31/2025","0.83","0.84","0.84","0.83","3.35M","-1.19%"
"03/28/2025","0.84","0.83","0.84","0.83","3.41M","1.20%"
"03/27/2025","0.83","0.84","0.84","0.83","2.07M","-1.19%"
"03/26/2025","0.84","0.84","0.84","0.83","1.72M","0.00%"
"03/25/2025","0.84","0.83","0.84","0.83","2.25M","1.20%"
"03/24/2025","0.83","0.86","0.86","0.83","9.72M","-3.49%"
"03/21/2025","0.86","0.88","0.89","0.85","14.19M","-2.27%"
"03/20/2025","0.88","0.89","0.89","0.88","6.04M","0.00%"
"03/19/2025","0.88","0.89","0.89","0.88","1.97M","0.00%"
"03/18/2025","0.88","0.91","0.91","0.88","12.22M","-4.35%"
"03/17/2025","0.92","0.90","0.92","0.90","3.86M","1.10%"
"03/14/2025","0.91","0.91","0.92","0.90","2.29M","0.00%"
"03/13/2025","0.91","0.91","0.91","0.90","1.75M","1.11%"
"03/12/2025","0.90","0.92","0.92","0.90","1.91M","-2.17%"
"03/11/2025","0.92","0.91","0.92","0.90","1.72M","0.00%"
"03/10/2025","0.92","0.92","0.92","0.91","788.15K","1.10%"
"03/07/2025","0.91","0.92","0.92","0.91","2.96M","-1.09%"
"03/06/2025","0.92","0.90","0.92","0.90","2.55M","2.22%"
"03/05/2025","0.90","0.91","0.92","0.89","4.54M","-1.10%"
"03/04/2025","0.91","0.91","0.92","0.90","1.20M","0.00%"
"03/03/2025","0.91","0.90","0.93","0.90","2.62M","1.11%"
"02/28/2025","0.90","0.94","0.94","0.90","3.04M","-4.26%"
"02/27/2025","0.94","0.92","0.94","0.91","3.38M","2.17%"
"02/26/2025","0.92","0.90","0.92","0.89","3.01M","3.37%"
"02/25/2025","0.89","0.90","0.90","0.88","1.93M","-2.20%"
"02/24/2025","0.91","0.90","0.91","0.88","6.67M","1.11%"
"02/21/2025","0.90","0.90","0.91","0.89","2.79M","0.00%"
"02/20/2025","0.90","0.90","0.91","0.89","2.70M","-1.10%"
"02/19/2025","0.91","0.91","0.91","0.89","1.63M","0.00%"
"02/18/2025","0.91","0.90","0.91","0.89","1.82M","1.11%"
