"Date","Price","Open","High","Low","Change %"
"06/30/2025","3.193","3.199","3.203","3.199","0.11%"
"06/26/2025","3.190","3.242","3.242","3.200","-1.10%"
"06/25/2025","3.225","3.242","3.242","3.234","-0.23%"
"06/24/2025","3.233","3.253","3.253","3.242","-0.68%"
"06/23/2025","3.254","3.257","3.265","3.257","-0.08%"
"06/22/2025","3.257","3.257","3.257","3.257","0.32%"
"06/20/2025","3.247","3.359","3.359","3.253","-0.44%"
"06/19/2025","3.261","3.269","3.269","3.268","-0.28%"
"06/18/2025","3.270","3.278","3.279","3.278","0.08%"
"06/17/2025","3.267","3.287","3.287","3.277","-0.44%"
"06/16/2025","3.282","3.253","3.291","3.253","1.11%"
"06/13/2025","3.246","3.256","3.256","3.256","-0.03%"
"06/12/2025","3.247","3.273","3.273","3.257","-0.32%"
"06/11/2025","3.257","3.231","3.266","3.231","1.35%"
"06/10/2025","3.214","3.189","3.221","3.189","0.96%"
"06/09/2025","3.184","3.189","3.190","3.189","-0.17%"
"06/08/2025","3.189","3.189","3.189","3.189","0.17%"
"06/06/2025","3.184","3.215","3.216","3.189","-0.55%"
"06/05/2025","3.201","3.215","3.216","3.210","-0.14%"
"06/04/2025","3.205","3.216","3.216","3.216","0.16%"
"06/03/2025","3.201","3.211","3.211","3.211","-0.39%"
"06/02/2025","3.213","3.213","3.213","3.213","0.30%"
"05/30/2025","3.204","3.225","3.225","3.213","-0.39%"
"05/29/2025","3.216","3.201","3.226","3.201","0.74%"
"05/28/2025","3.193","3.203","3.205","3.202","-0.06%"
"05/27/2025","3.194","3.207","3.217","3.204","-0.39%"
"05/26/2025","3.207","3.216","3.218","3.216","-0.28%"
"05/25/2025","3.216","3.216","3.216","3.216","0.36%"
"05/23/2025","3.204","3.229","3.229","3.214","-0.94%"
"05/22/2025","3.235","3.284","3.286","3.242","-1.15%"
"05/21/2025","3.273","3.283","3.285","3.282","0.08%"
"05/20/2025","3.270","3.280","3.282","3.280","0.08%"
"05/19/2025","3.267","3.272","3.281","3.272","-0.59%"
"05/18/2025","3.287","3.287","3.287","3.287","0.83%"
"05/16/2025","3.260","3.350","3.350","3.272","-2.26%"
"05/15/2025","3.336","3.351","3.351","3.350","0.03%"
"05/14/2025","3.335","3.372","3.372","3.335","0.42%"
"05/13/2025","3.320","3.275","3.335","3.270","0.80%"
"05/09/2025","3.294","3.313","3.313","3.309","-0.17%"
"05/08/2025","3.299","3.338","3.338","3.314","-0.72%"
"05/07/2025","3.323","3.354","3.354","3.338","-0.48%"
"05/06/2025","3.339","3.372","3.372","3.354","-0.54%"
"05/05/2025","3.358","3.367","3.374","3.367","-0.06%"
"05/02/2025","3.359","3.362","3.374","3.358","0.24%"
"04/30/2025","3.352","3.366","3.368","3.362","-0.15%"
"04/29/2025","3.356","3.375","3.375","3.367","-0.24%"
