"Date","Price","Open","High","Low","Change %"
"06/30/2025","1.788","1.829","1.831","1.729","-1.68%"
"06/27/2025","1.818","1.844","1.844","1.810","-0.76%"
"06/26/2025","1.832","1.858","1.860","1.828","-0.87%"
"06/25/2025","1.848","1.887","1.887","1.848","-1.52%"
"06/24/2025","1.877","1.924","1.924","1.879","-1.93%"
"06/23/2025","1.913","1.924","1.944","1.916","-0.03%"
"06/20/2025","1.914","1.925","1.933","1.910","-1.03%"
"06/19/2025","1.934","1.904","1.965","1.904","2.03%"
"06/18/2025","1.895","1.909","1.928","1.878","-0.13%"
"06/17/2025","1.898","1.931","1.931","1.892","-1.15%"
"06/16/2025","1.920","1.924","1.955","1.914","2.76%"
"06/13/2025","1.868","1.892","1.920","1.871","-3.19%"
"06/12/2025","1.930","1.874","1.954","1.874","-0.57%"
"06/11/2025","1.941","1.950","1.969","1.939","0.99%"
"06/10/2025","1.922","1.952","1.961","1.933","-0.47%"
"06/09/2025","1.931","2.002","2.013","1.933","0.55%"
"06/06/2025","1.921","1.985","2.007","1.916","-2.76%"
"06/05/2025","1.975","1.980","1.990","1.949","-2.69%"
"06/04/2025","2.030","2.051","2.051","2.001","-0.85%"
"06/03/2025","2.047","2.142","2.153","2.021","-2.29%"
"06/02/2025","2.095","2.101","2.106","2.071","0.00%"
"05/30/2025","2.095","2.108","2.108","2.050","0.00%"
"05/29/2025","2.095","2.126","2.126","2.074","1.04%"
"05/28/2025","2.074","2.055","2.096","2.055","0.48%"
"05/27/2025","2.064","2.105","2.105","2.036","-1.34%"
"05/26/2025","2.092","2.146","2.157","2.096","-3.10%"
"05/23/2025","2.159","2.185","2.185","2.140","-0.92%"
"05/22/2025","2.179","2.160","2.201","2.160","1.28%"
"05/21/2025","2.151","2.158","2.177","2.143","-0.69%"
"05/20/2025","2.167","2.229","2.229","2.149","-2.26%"
"05/19/2025","2.217","2.219","2.249","2.169","2.10%"
"05/16/2025","2.171","2.238","2.238","2.169","-3.40%"
"05/15/2025","2.247","2.258","2.338","2.247","0.11%"
"05/14/2025","2.245","2.211","2.291","2.211","1.74%"
"05/13/2025","2.207","2.088","2.220","2.088","5.95%"
"05/09/2025","2.082","2.076","2.147","2.065","1.22%"
"05/08/2025","2.057","2.047","2.068","2.017","0.51%"
"05/07/2025","2.047","2.137","2.137","2.036","-3.44%"
"05/06/2025","2.120","2.141","2.152","2.122","-0.40%"
"05/05/2025","2.128","2.158","2.229","2.139","-0.70%"
"05/02/2025","2.144","2.146","2.187","2.146","0.47%"
"04/30/2025","2.134","2.200","2.200","2.125","-2.38%"
"04/29/2025","2.185","2.217","2.222","2.187","-1.06%"
"04/28/2025","2.209","2.203","2.228","2.162","1.47%"
"04/25/2025","2.177","2.245","2.245","2.188","-2.42%"
"04/24/2025","2.231","2.233","2.263","2.233","0.47%"
"04/23/2025","2.220","2.265","2.284","2.225","-1.42%"
"04/22/2025","2.253","2.248","2.297","2.248","0.67%"
"04/21/2025","2.237","2.300","2.300","2.240","-2.16%"
"04/17/2025","2.287","2.268","2.323","2.249","1.49%"
"04/16/2025","2.253","2.287","2.287","2.258","-0.92%"
"04/15/2025","2.274","2.309","2.377","2.258","-2.13%"
"04/14/2025","2.324","2.388","2.407","2.318","-2.41%"
"04/11/2025","2.382","2.480","2.480","2.382","-1.53%"
"04/10/2025","2.418","2.461","2.472","2.421","-1.12%"
"04/09/2025","2.446","2.361","2.491","2.350","4.09%"
"04/08/2025","2.350","2.257","2.367","2.257","4.72%"
"04/07/2025","2.244","2.269","2.269","2.210","-0.47%"
"04/04/2025","2.254","2.378","2.378","2.248","-4.53%"
"04/03/2025","2.362","2.440","2.440","2.370","-2.62%"
"04/02/2025","2.425","2.436","2.476","2.425","0.17%"
"04/01/2025","2.421","2.524","2.524","2.432","-3.41%"
"03/28/2025","2.507","2.554","2.554","2.504","-0.93%"
"03/27/2025","2.530","2.609","2.609","2.541","-1.50%"
"03/26/2025","2.569","2.632","2.672","2.577","-1.98%"
"03/25/2025","2.621","2.568","2.633","2.568","2.42%"
"03/24/2025","2.559","2.532","2.571","2.532","1.55%"
"03/21/2025","2.520","2.522","2.551","2.502","1.16%"
"03/20/2025","2.490","2.542","2.542","2.493","-1.76%"
"03/19/2025","2.535","2.540","2.550","2.540","0.58%"
"03/18/2025","2.520","2.562","2.572","2.518","-1.16%"
"03/17/2025","2.550","2.530","2.626","2.530","1.35%"
"03/14/2025","2.516","2.484","2.536","2.484","1.74%"
"03/13/2025","2.473","2.480","2.517","2.461","0.20%"
"03/12/2025","2.468","2.473","2.505","2.463","0.59%"
"03/11/2025","2.454","2.546","2.546","2.420","-3.20%"
"03/10/2025","2.534","2.554","2.564","2.530","-0.30%"
"03/07/2025","2.542","2.613","2.615","2.525","-2.36%"
"03/06/2025","2.603","2.596","2.857","2.586","0.56%"
"03/05/2025","2.589","2.575","2.845","2.513","0.66%"
"03/04/2025","2.572","2.619","2.628","2.538","-1.70%"
"03/03/2025","2.616","2.638","2.653","2.619","0.00%"
"02/28/2025","2.616","2.646","2.685","2.616","-1.84%"
"02/27/2025","2.665","2.676","2.705","2.671","-0.49%"
