"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2025","92.43","92.66","92.80","92.27","","0.02%"
"07/03/2025","92.41","92.23","92.74","92.14","","0.68%"
"07/02/2025","91.79","93.37","93.37","91.63","","-1.89%"
"07/01/2025","93.56","93.36","93.77","93.33","","0.46%"
"06/30/2025","93.13","92.96","93.26","92.83","","0.19%"
"06/27/2025","92.95","93.33","93.37","92.86","","-0.33%"
"06/26/2025","93.26","93.37","93.46","93.15","","0.10%"
"06/25/2025","93.17","93.42","93.58","93.03","","-0.16%"
"06/24/2025","93.32","93.20","93.52","92.64","","0.21%"
"06/23/2025","93.12","92.46","93.23","92.36","","0.33%"
"06/20/2025","92.81","92.99","93.07","92.45","","0.03%"
"06/19/2025","92.78","92.63","93.02","92.56","","-0.25%"
"06/18/2025","93.01","92.60","93.10","92.49","","0.38%"
"06/17/2025","92.66","92.60","93.02","92.37","","0.00%"
"06/16/2025","92.66","92.44","92.87","92.23","","0.11%"
"06/13/2025","92.56","93.57","93.57","92.55","","-0.83%"
"06/12/2025","93.33","92.92","93.37","92.81","","0.73%"
"06/11/2025","92.65","92.65","92.70","92.12","","-0.09%"
"06/10/2025","92.73","92.40","92.88","92.34","","0.80%"
"06/09/2025","91.99","91.95","92.18","91.55","","0.21%"
"06/06/2025","91.80","92.03","92.37","91.71","","-0.31%"
"06/05/2025","92.09","92.03","92.63","91.89","","-0.10%"
"06/04/2025","92.18","91.85","92.23","91.44","","0.47%"
"06/03/2025","91.75","91.77","92.11","91.71","","0.25%"
"06/02/2025","91.52","91.46","91.68","91.16","","-0.25%"
"05/30/2025","91.75","91.72","91.80","91.38","","0.15%"
"05/29/2025","91.61","90.74","91.72","90.59","","0.65%"
"05/28/2025","91.02","91.20","91.39","90.88","","-0.39%"
"05/27/2025","91.38","91.52","91.90","91.08","","0.22%"
"05/23/2025","91.18","90.75","91.21","90.47","","0.66%"
"05/22/2025","90.58","90.44","90.68","90.11","","-0.01%"
"05/21/2025","90.59","90.83","90.89","90.39","","-0.60%"
"05/20/2025","91.14","91.51","91.92","90.93","","-0.46%"
"05/19/2025","91.56","91.36","91.57","90.86","","-0.07%"
"05/16/2025","91.62","91.92","92.04","91.59","","-0.02%"
"05/15/2025","91.64","91.11","91.65","91.02","","0.70%"
"05/14/2025","91.00","91.63","91.68","90.96","","-0.60%"
"05/13/2025","91.55","91.69","91.79","91.47","","-0.12%"
"05/12/2025","91.66","91.84","91.97","91.63","","-0.70%"
"05/09/2025","92.31","92.40","92.54","92.07","","-0.17%"
"05/08/2025","92.47","93.42","93.60","92.43","","-1.11%"
"05/07/2025","93.51","92.99","93.53","92.81","","0.66%"
"05/06/2025","92.90","92.82","93.00","92.33","","0.04%"
"05/02/2025","92.86","93.34","93.93","92.85","","-0.95%"
"04/30/2025","93.75","93.42","93.79","93.41","","0.42%"
"04/29/2025","93.36","93.09","93.49","92.97","","0.31%"
"04/28/2025","93.07","93.21","93.34","92.79","","-0.27%"
"04/25/2025","93.32","92.92","93.35","92.92","","0.20%"
"04/24/2025","93.13","92.68","93.19","92.52","","0.77%"
"04/23/2025","92.42","92.53","93.33","92.37","","-0.04%"
"04/22/2025","92.46","92.25","92.58","91.96","","0.04%"
"04/17/2025","92.42","91.94","92.60","91.72","","0.47%"
"04/16/2025","91.99","92.06","92.33","91.77","","0.24%"
"04/15/2025","91.77","91.75","92.00","91.43","","0.21%"
"04/14/2025","91.58","91.05","91.65","90.97","","0.60%"
"04/11/2025","91.03","91.54","91.76","90.47","","-0.87%"
"04/10/2025","91.83","90.69","91.90","90.69","","1.90%"
"04/09/2025","90.12","91.67","91.67","89.99","","-2.23%"
"04/08/2025","92.18","91.96","92.64","91.59","","0.35%"
"04/07/2025","91.86","94.24","94.50","91.59","","-2.14%"
"04/04/2025","93.87","93.61","94.41","93.41","","0.87%"
"04/03/2025","93.06","92.83","93.26","92.47","","1.28%"
"04/02/2025","91.88","91.97","92.55","91.83","","-0.15%"
